timestamp,pm1,pm25,pm10,temperature,humidity,aqi,quality,latitude,longitude
2026-02-10T13:15:31.325411,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:33.289072,10,127,136,28.6,32.8,246,GOOD,,
2026-02-10T13:15:33.306766,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:35.292647,35,84,93,21.7,55.6,295,UNHEALTHY,,
2026-02-10T13:15:35.398852,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:37.300366,37,126,202,19.5,61.2,295,GOOD,,
2026-02-10T13:15:37.386620,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:39.308119,100,84,80,25.0,74.9,227,UNHEALTHY,,
2026-02-10T13:15:39.369781,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:41.318084,56,88,108,26.4,46.2,16,GOOD,,
2026-02-10T13:15:41.449118,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:43.326352,85,86,72,29.2,30.8,24,MODERATE,,
2026-02-10T13:15:43.424284,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:45.336043,72,153,195,25.8,61.4,180,MODERATE,,
2026-02-10T13:15:45.512891,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:47.343600,96,113,285,20.6,69.3,121,UNHEALTHY,,
2026-02-10T13:15:47.474886,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:49.350310,60,42,138,23.9,67.9,127,GOOD,,
2026-02-10T13:15:49.560817,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:51.358084,8,99,115,25.7,74.4,78,UNHEALTHY,,
2026-02-10T13:15:51.545905,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:53.367619,88,104,271,29.6,33.0,186,GOOD,,
2026-02-10T13:15:53.557016,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:55.372786,26,63,203,28.1,59.8,44,UNHEALTHY,,
2026-02-10T13:15:55.634373,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:15:57.382980,71,71,195,19.4,34.9,289,MODERATE,,
2026-02-10T13:15:57.715079,3,4,4,25.0,16.0,16,GOOD,,
2026-02-10T13:15:59.390288,19,42,170,29.9,70.3,66,UNHEALTHY,,
2026-02-10T13:15:59.694005,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:16:01.397045,81,90,58,26.2,49.1,233,GOOD,,
2026-02-10T13:16:01.787694,3,4,4,25.0,16.0,16,GOOD,,
2026-02-10T13:16:03.404897,93,14,250,18.5,45.1,280,MODERATE,,
2026-02-10T13:16:03.761636,3,4,4,25.0,16.0,16,GOOD,,
2026-02-10T13:16:05.411097,49,99,186,23.7,33.0,168,GOOD,,
2026-02-10T13:16:05.845916,3,4,4,25.0,17.0,16,GOOD,,
2026-02-10T13:16:07.416200,44,90,151,24.3,52.6,15,GOOD,,
2026-02-10T13:16:07.832872,3,4,4,25.0,16.0,16,GOOD,,
2026-02-10T13:16:09.423914,45,103,195,21.1,60.6,28,GOOD,,
2026-02-10T13:16:09.821820,3,4,4,25.0,16.0,16,GOOD,,
2026-02-10T13:16:11.434447,98,189,125,25.4,76.6,40,UNHEALTHY,,
2026-02-10T13:16:11.900983,3,4,4,25.0,16.0,16,GOOD,,
2026-02-10T13:16:13.443559,5,119,70,20.2,32.4,178,UNHEALTHY,,
2026-02-10T13:16:13.880820,2,3,3,25.0,17.0,12,GOOD,,
2026-02-10T13:16:15.452278,51,70,215,23.7,51.3,17,MODERATE,,
2026-02-10T13:16:15.968167,2,3,3,25.0,16.0,12,GOOD,,
2026-02-10T13:16:17.462066,91,156,253,23.2,41.3,200,GOOD,,
2026-02-10T13:16:17.945337,2,3,3,25.0,16.0,12,GOOD,,
2026-02-10T13:16:19.470301,39,166,281,18.2,75.4,219,GOOD,,
2026-02-10T13:16:20.028928,2,3,3,25.0,16.0,12,GOOD,,
2026-02-10T13:16:21.478394,12,149,299,20.0,73.0,88,GOOD,,
2026-02-10T13:16:22.010303,2,3,3,25.0,16.0,12,GOOD,,
2026-02-10T13:16:23.482377,20,158,227,24.3,70.0,16,MODERATE,,
2026-02-10T13:16:24.076417,2,3,3,25.0,16.0,12,GOOD,,
2026-02-10T13:16:25.492295,59,42,96,24.9,56.6,66,MODERATE,,
2026-02-10T13:16:26.059236,2,3,3,25.0,16.0,12,GOOD,,
2026-02-10T13:16:27.500666,19,89,136,23.7,70.9,286,UNHEALTHY,,
2026-02-10T13:16:28.055728,2,3,3,25.0,16.0,12,GOOD,,
2026-02-10T13:16:29.509313,33,18,132,28.0,76.5,138,UNHEALTHY,,
2026-02-10T13:16:30.111722,3,4,4,25.0,16.0,12,GOOD,,
2026-02-10T13:16:31.519126,29,199,252,27.0,36.5,110,GOOD,,
